TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2025-12-19 06:55:29,1766127329589,matthew-cody-project-labor-pool.vercel.app/api/auth/register,POST,,500,7w7hb-1766127329042-69ca917056e8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",error,production,main,MISS,serverless,/api/auth/register,matthew-cody-project-labor-pool.vercel.app,matthew-cody-project-labor-pool.vercel.app,dpl_sqLbiMMvcvwbwkCVbdryiFKchRU5,,,,,"Registration error: Error [DriverAdapterError]: Tenant or user not found
    at U.onError (.next/server/chunks/_31d3bfd5._.js:1:11681)
    at U.performIO (.next/server/chunks/_31d3bfd5._.js:1:11622)
    at async U.queryRaw (.next/server/chunks/_31d3bfd5._.js:1:8257) {
  clientVersion: '7.2.0',
  [cause]: [Object]
}",prj_QISaRlzPSNVQ5Q9kwgF4Zbp7C6y3,,,,,
2025-12-19 06:55:29,1766127329369,matthew-cody-project-labor-pool.vercel.app/api/auth/register,POST,,500,7w7hb-1766127329042-69ca917056e8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/auth/register,matthew-cody-project-labor-pool.vercel.app,matthew-cody-project-labor-pool.vercel.app,dpl_sqLbiMMvcvwbwkCVbdryiFKchRU5,,,,,"[DB] Proxy: First access, creating client...",prj_QISaRlzPSNVQ5Q9kwgF4Zbp7C6y3,,,,,
2025-12-19 06:55:29,1766127329369,matthew-cody-project-labor-pool.vercel.app/api/auth/register,POST,,500,7w7hb-1766127329042-69ca917056e8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/auth/register,matthew-cody-project-labor-pool.vercel.app,matthew-cody-project-labor-pool.vercel.app,dpl_sqLbiMMvcvwbwkCVbdryiFKchRU5,,,,,[DB] Creating Prisma client...,prj_QISaRlzPSNVQ5Q9kwgF4Zbp7C6y3,,,,,
2025-12-19 06:55:29,1766127329369,matthew-cody-project-labor-pool.vercel.app/api/auth/register,POST,,500,7w7hb-1766127329042-69ca917056e8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/auth/register,matthew-cody-project-labor-pool.vercel.app,matthew-cody-project-labor-pool.vercel.app,dpl_sqLbiMMvcvwbwkCVbdryiFKchRU5,,,,,[DB] DATABASE_URL exists: true,prj_QISaRlzPSNVQ5Q9kwgF4Zbp7C6y3,,,,,
2025-12-19 06:55:29,1766127329371,matthew-cody-project-labor-pool.vercel.app/api/auth/register,POST,,500,7w7hb-1766127329042-69ca917056e8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/auth/register,matthew-cody-project-labor-pool.vercel.app,matthew-cody-project-labor-pool.vercel.app,dpl_sqLbiMMvcvwbwkCVbdryiFKchRU5,,,,,[DB] DATABASE_URL length: 143,prj_QISaRlzPSNVQ5Q9kwgF4Zbp7C6y3,,,,,
2025-12-19 06:55:29,1766127329371,matthew-cody-project-labor-pool.vercel.app/api/auth/register,POST,,500,7w7hb-1766127329042-69ca917056e8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/auth/register,matthew-cody-project-labor-pool.vercel.app,matthew-cody-project-labor-pool.vercel.app,dpl_sqLbiMMvcvwbwkCVbdryiFKchRU5,,,,,[DB] DATABASE_URL starts with: postgresql://postgres.hfddrvyw,prj_QISaRlzPSNVQ5Q9kwgF4Zbp7C6y3,,,,,
2025-12-19 06:55:29,1766127329371,matthew-cody-project-labor-pool.vercel.app/api/auth/register,POST,,500,7w7hb-1766127329042-69ca917056e8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/auth/register,matthew-cody-project-labor-pool.vercel.app,matthew-cody-project-labor-pool.vercel.app,dpl_sqLbiMMvcvwbwkCVbdryiFKchRU5,,,,,[DB] Creating pg Pool...,prj_QISaRlzPSNVQ5Q9kwgF4Zbp7C6y3,,,,,
2025-12-19 06:55:29,1766127329371,matthew-cody-project-labor-pool.vercel.app/api/auth/register,POST,,500,7w7hb-1766127329042-69ca917056e8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/auth/register,matthew-cody-project-labor-pool.vercel.app,matthew-cody-project-labor-pool.vercel.app,dpl_sqLbiMMvcvwbwkCVbdryiFKchRU5,,,,,[DB] Creating PrismaPg adapter...,prj_QISaRlzPSNVQ5Q9kwgF4Zbp7C6y3,,,,,
2025-12-19 06:55:29,1766127329372,matthew-cody-project-labor-pool.vercel.app/api/auth/register,POST,,500,7w7hb-1766127329042-69ca917056e8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",info,production,main,MISS,serverless,/api/auth/register,matthew-cody-project-labor-pool.vercel.app,matthew-cody-project-labor-pool.vercel.app,dpl_sqLbiMMvcvwbwkCVbdryiFKchRU5,,,,,[DB] Creating PrismaClient...,prj_QISaRlzPSNVQ5Q9kwgF4Zbp7C6y3,,,,,
2025-12-19 06:55:29,1766127329042,matthew-cody-project-labor-pool.vercel.app/api/auth/register,POST,,500,7w7hb-1766127329042-69ca917056e8,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",,production,main,MISS,serverless,/api/auth/register,matthew-cody-project-labor-pool.vercel.app,matthew-cody-project-labor-pool.vercel.app,dpl_sqLbiMMvcvwbwkCVbdryiFKchRU5,324,iad1,288,2048,,prj_QISaRlzPSNVQ5Q9kwgF4Zbp7C6y3,,,01KCTP8QZ3SNA9N961AYN3YYZ7,8pu4ipGa0Ep5,1
